state,votes,electoral_vote
Delaware,491269,0
Indiana,2987878,0
Missouri,2995509,0
Montana,592994,0
New Hampshire,782027,0
North Carolina,5453115,0
North Dakota,340430,0
Utah,1301253,0
Vermont,362628,0
Washington,3943163,0
West Virginia,769436,0
